algorithm,text_size,avg_time_seconds
Boyer-Moore,1000,0.00011345380007696804
Boyer-Moore,5000,0.0004940301994793117
Boyer-Moore,10000,0.0009630289998312947
Boyer-Moore,50000,0.004832716400051141
Boyer-Moore,100000,0.009898332400189247
